Timestep: 0-4300, Program time: 7231.97 s, Sim. time: 0.0247388 TU, Active/Total Cells: 714540/1015233, Max key %: 0.000301109%
Timestep: 0-4370, Program time: 7468.21 s, Sim. time: 0.0251327 TU, Active/Total Cells: 722567/933171, Max key %: 0.000318227%
Timestep: 0-4400, Program time: 7556.31 s, Sim. time: 0.0253042 TU, Active/Total Cells: 725476/1031026, Max key %: 0.000326586%
Timestep: 0-4500, Program time: 7881.29 s, Sim. time: 0.0258811 TU, Active/Total Cells: 735667/1046068, Max key %: 0.000352653%
Timestep: 0-4600, Program time: 8206.68 s, Sim. time: 0.0264667 TU, Active/Total Cells: 745579/1061399, Max key %: 0.00038025%
Timestep: 0-4700, Program time: 8540.34 s, Sim. time: 0.027061 TU, Active/Total Cells: 754863/1074934, Max key %: 0.000409436%
Timestep: 0-4800, Program time: 8875.27 s, Sim. time: 0.0276647 TU, Active/Total Cells: 763691/1088648, Max key %: 0.00044027%
Timestep: 0-4900, Program time: 9210.41 s, Sim. time: 0.0282778 TU, Active/Total Cells: 772090/1100736, Max key %: 0.000472814%
Timestep: 0-5000, Program time: 9539.1 s, Sim. time: 0.0289003 TU, Active/Total Cells: 779751/1112627, Max key %: 0.000508435%
Timestep: 0-5100, Program time: 9870.66 s, Sim. time: 0.0295326 TU, Active/Total Cells: 786268/1124303, Max key %: 0.000543281%
Timestep: 0-5200, Program time: 10198.4 s, Sim. time: 0.0301747 TU, Active/Total Cells: 793606/1135940, Max key %: 0.00058133%
Timestep: 0-5300, Program time: 10514.5 s, Sim. time: 0.0308264 TU, Active/Total Cells: 800522/1146617, Max key %: 0.000621344%
Timestep: 0-5390, Program time: 10807 s, Sim. time: 0.0314158 TU, Active/Total Cells: 805055/1054028, Max key %: 0.000657029%
