Timestep: 2-400, Program time: 3748.4 s, Sim. time: 4.7942 TU, Active/Total Cells: 81767/166563, Max key %: 8.77225e-06%
Timestep: 2-467, Program time: 3770.12 s, Sim. time: 4.88683 TU, Active/Total Cells: 96858/183383, Max key %: 8.34505e-06%
Timestep: 2-500, Program time: 3782.47 s, Sim. time: 4.9302 TU, Active/Total Cells: 103887/212869, Max key %: 8.10801e-06%
Timestep: 2-600, Program time: 3825.58 s, Sim. time: 5.05426 TU, Active/Total Cells: 123057/259776, Max key %: 7.15633e-06%
Timestep: 2-700, Program time: 3880.81 s, Sim. time: 5.17337 TU, Active/Total Cells: 147623/306407, Max key %: 5.95837e-06%
Timestep: 2-800, Program time: 3948.95 s, Sim. time: 5.28564 TU, Active/Total Cells: 175257/346109, Max key %: 4.71898e-06%
Timestep: 2-900, Program time: 4029.11 s, Sim. time: 5.39283 TU, Active/Total Cells: 202130/383027, Max key %: 3.52418e-06%
Timestep: 2-1000, Program time: 4120.82 s, Sim. time: 5.49665 TU, Active/Total Cells: 225061/415196, Max key %: 2.49846e-06%
Timestep: 2-1087, Program time: 4207.98 s, Sim. time: 5.58494 TU, Active/Total Cells: 242010/417993, Max key %: 1.73316e-06%
Timestep: 2-1100, Program time: 4221.24 s, Sim. time: 5.59814 TU, Active/Total Cells: 244838/442703, Max key %: 1.66059e-06%
Timestep: 2-1200, Program time: 4330.46 s, Sim. time: 5.69917 TU, Active/Total Cells: 261758/465969, Max key %: 1.00368e-06%
Timestep: 2-1300, Program time: 4447.27 s, Sim. time: 5.80059 TU, Active/Total Cells: 276454/486342, Max key %: 5.48396e-07%
Timestep: 2-1400, Program time: 4570.77 s, Sim. time: 5.90365 TU, Active/Total Cells: 289750/507759, Max key %: 2.55577e-07%
Timestep: 2-1500, Program time: 4697.53 s, Sim. time: 6.00965 TU, Active/Total Cells: 301711/530064, Max key %: 9.72343e-08%
Timestep: 2-1600, Program time: 4825.1 s, Sim. time: 6.12053 TU, Active/Total Cells: 313736/568355, Max key %: 2.40008e-08%
Timestep: 2-1700, Program time: 4957.8 s, Sim. time: 6.23889 TU, Active/Total Cells: 331438/628484, Max key %: 5.06396e-09%
Timestep: 2-1736, Program time: 5009.58 s, Sim. time: 6.28306 TU, Active/Total Cells: 338898/600339, Max key %: 5.29992e-09%
