Timestep: 0-5100, Program time: 1253.53 s, Sim. time: 15295.6 s, Active/Total Cells: 100000/100000
Timestep: 0-5200, Program time: 1278.36 s, Sim. time: 15595.6 s, Active/Total Cells: 100000/100000
Timestep: 0-5300, Program time: 1303 s, Sim. time: 15895.6 s, Active/Total Cells: 100000/100000
Timestep: 0-5400, Program time: 1327.61 s, Sim. time: 16195.6 s, Active/Total Cells: 100000/100000
Timestep: 0-5434, Program time: 1336.16 s, Sim. time: 16297.1 s, Active/Total Cells: 100000/100000
Timestep: 0-5500, Program time: 1352.63 s, Sim. time: 16495.1 s, Active/Total Cells: 100000/100000
Timestep: 0-5600, Program time: 1376.78 s, Sim. time: 16795.1 s, Active/Total Cells: 100000/100000
Timestep: 0-5700, Program time: 1401.21 s, Sim. time: 17095.1 s, Active/Total Cells: 100000/100000
Timestep: 0-5800, Program time: 1425.62 s, Sim. time: 17395.1 s, Active/Total Cells: 100000/100000
Timestep: 0-5900, Program time: 1449.94 s, Sim. time: 17695.1 s, Active/Total Cells: 100000/100000
Timestep: 0-5928, Program time: 1456.76 s, Sim. time: 17778.7 s, Active/Total Cells: 100000/100000
Timestep: 0-6000, Program time: 1474.77 s, Sim. time: 17994.7 s, Active/Total Cells: 100000/100000
Timestep: 0-6100, Program time: 1498.44 s, Sim. time: 18294.7 s, Active/Total Cells: 100000/100000
Timestep: 0-6200, Program time: 1522.69 s, Sim. time: 18594.7 s, Active/Total Cells: 100000/100000
Timestep: 0-6300, Program time: 1546.68 s, Sim. time: 18894.7 s, Active/Total Cells: 100000/100000
Timestep: 0-6400, Program time: 1570.55 s, Sim. time: 19194.7 s, Active/Total Cells: 100000/100000
Timestep: 0-6422, Program time: 1576 s, Sim. time: 19260.2 s, Active/Total Cells: 100000/100000
Timestep: 0-6500, Program time: 1595.19 s, Sim. time: 19494.2 s, Active/Total Cells: 100000/100000
Timestep: 0-6600, Program time: 1619.55 s, Sim. time: 19794.2 s, Active/Total Cells: 100000/100000
Timestep: 0-6700, Program time: 1644.14 s, Sim. time: 20094.2 s, Active/Total Cells: 100000/100000
Timestep: 0-6800, Program time: 1668.07 s, Sim. time: 20394.2 s, Active/Total Cells: 100000/100000
Timestep: 0-6900, Program time: 1692.32 s, Sim. time: 20694.2 s, Active/Total Cells: 100000/100000
Timestep: 0-6916, Program time: 1696.31 s, Sim. time: 20741.8 s, Active/Total Cells: 100000/100000
Timestep: 0-7000, Program time: 1717.88 s, Sim. time: 20993.8 s, Active/Total Cells: 100000/100000
Timestep: 0-7100, Program time: 1742.63 s, Sim. time: 21293.8 s, Active/Total Cells: 100000/100000
Timestep: 0-7200, Program time: 1767.24 s, Sim. time: 21593.8 s, Active/Total Cells: 100000/100000
Timestep: 0-7300, Program time: 1792.28 s, Sim. time: 21893.8 s, Active/Total Cells: 100000/100000
Timestep: 0-7400, Program time: 1817.44 s, Sim. time: 22193.8 s, Active/Total Cells: 100000/100000
Timestep: 0-7410, Program time: 1820.26 s, Sim. time: 22223.3 s, Active/Total Cells: 100000/100000
Timestep: 0-7500, Program time: 1842.3 s, Sim. time: 22493.3 s, Active/Total Cells: 100000/100000
Timestep: 0-7600, Program time: 1866.64 s, Sim. time: 22793.3 s, Active/Total Cells: 100000/100000
Timestep: 0-7700, Program time: 1890.63 s, Sim. time: 23093.3 s, Active/Total Cells: 100000/100000
Timestep: 0-7800, Program time: 1915.3 s, Sim. time: 23393.3 s, Active/Total Cells: 100000/100000
Timestep: 0-7900, Program time: 1940.03 s, Sim. time: 23693.3 s, Active/Total Cells: 100000/100000
Timestep: 0-7904, Program time: 1941.17 s, Sim. time: 23704.9 s, Active/Total Cells: 100000/100000
Timestep: 0-8000, Program time: 1964.39 s, Sim. time: 23992.9 s, Active/Total Cells: 100000/100000
Timestep: 0-8100, Program time: 1987.9 s, Sim. time: 24292.9 s, Active/Total Cells: 100000/100000
Timestep: 0-8200, Program time: 2011.42 s, Sim. time: 24592.9 s, Active/Total Cells: 100000/100000
Timestep: 0-8300, Program time: 2034.96 s, Sim. time: 24892.9 s, Active/Total Cells: 100000/100000
Timestep: 0-8398, Program time: 2058.16 s, Sim. time: 25186.4 s, Active/Total Cells: 100000/100000
Timestep: 0-8400, Program time: 2059.16 s, Sim. time: 25192.4 s, Active/Total Cells: 100000/100000
Timestep: 0-8500, Program time: 2082.81 s, Sim. time: 25492.4 s, Active/Total Cells: 100000/100000
Timestep: 0-8600, Program time: 2106.52 s, Sim. time: 25792.4 s, Active/Total Cells: 100000/100000
Timestep: 0-8700, Program time: 2130.21 s, Sim. time: 26092.4 s, Active/Total Cells: 100000/100000
Timestep: 0-8800, Program time: 2154.53 s, Sim. time: 26392.4 s, Active/Total Cells: 100000/100000
Timestep: 0-8892, Program time: 2177.3 s, Sim. time: 26668 s, Active/Total Cells: 100000/100000
Timestep: 0-8900, Program time: 2179.68 s, Sim. time: 26692 s, Active/Total Cells: 100000/100000
Timestep: 0-9000, Program time: 2204.95 s, Sim. time: 26992 s, Active/Total Cells: 100000/100000
Timestep: 0-9100, Program time: 2230.03 s, Sim. time: 27292 s, Active/Total Cells: 100000/100000
Timestep: 0-9200, Program time: 2254.61 s, Sim. time: 27592 s, Active/Total Cells: 100000/100000
Timestep: 0-9300, Program time: 2279.91 s, Sim. time: 27892 s, Active/Total Cells: 100000/100000
Timestep: 0-9386, Program time: 2301.67 s, Sim. time: 28149.5 s, Active/Total Cells: 100000/100000
Timestep: 0-9400, Program time: 2305.58 s, Sim. time: 28191.5 s, Active/Total Cells: 100000/100000
Timestep: 0-9500, Program time: 2329.84 s, Sim. time: 28491.5 s, Active/Total Cells: 100000/100000
Timestep: 0-9600, Program time: 2354.29 s, Sim. time: 28791.5 s, Active/Total Cells: 100000/100000
Timestep: 0-9700, Program time: 2378.7 s, Sim. time: 29091.5 s, Active/Total Cells: 100000/100000
Timestep: 0-9800, Program time: 2403.06 s, Sim. time: 29391.5 s, Active/Total Cells: 100000/100000
Timestep: 0-9880, Program time: 2423.05 s, Sim. time: 29631.1 s, Active/Total Cells: 100000/100000
Timestep: 0-9900, Program time: 2428.27 s, Sim. time: 29691.1 s, Active/Total Cells: 100000/100000
Timestep: 0-10000, Program time: 2452.81 s, Sim. time: 29991.1 s, Active/Total Cells: 100000/100000
Timestep: 0-10100, Program time: 2476.69 s, Sim. time: 30291.1 s, Active/Total Cells: 100000/100000
Timestep: 0-10200, Program time: 2500.73 s, Sim. time: 30591.1 s, Active/Total Cells: 100000/100000
Timestep: 0-10300, Program time: 2525.01 s, Sim. time: 30891.1 s, Active/Total Cells: 100000/100000
Timestep: 0-10374, Program time: 2543.18 s, Sim. time: 31112.7 s, Active/Total Cells: 100000/100000
Timestep: 0-10400, Program time: 2549.87 s, Sim. time: 31190.7 s, Active/Total Cells: 100000/100000
Timestep: 0-10500, Program time: 2574.24 s, Sim. time: 31490.7 s, Active/Total Cells: 100000/100000
Timestep: 0-10600, Program time: 2598.86 s, Sim. time: 31790.7 s, Active/Total Cells: 100000/100000
Timestep: 0-10700, Program time: 2623.53 s, Sim. time: 32090.7 s, Active/Total Cells: 100000/100000
Timestep: 0-10800, Program time: 2647.67 s, Sim. time: 32390.7 s, Active/Total Cells: 100000/100000
Timestep: 0-10868, Program time: 2664.52 s, Sim. time: 32594.2 s, Active/Total Cells: 100000/100000
Timestep: 0-10900, Program time: 2673.11 s, Sim. time: 32690.2 s, Active/Total Cells: 100000/100000
Timestep: 0-11000, Program time: 2698 s, Sim. time: 32990.2 s, Active/Total Cells: 100000/100000
Timestep: 0-11100, Program time: 2723.19 s, Sim. time: 33290.2 s, Active/Total Cells: 100000/100000
Timestep: 0-11200, Program time: 2748.12 s, Sim. time: 33590.2 s, Active/Total Cells: 100000/100000
Timestep: 0-11300, Program time: 2773.32 s, Sim. time: 33890.2 s, Active/Total Cells: 100000/100000
Timestep: 0-11362, Program time: 2789.32 s, Sim. time: 34075.8 s, Active/Total Cells: 100000/100000
Timestep: 0-11400, Program time: 2799.33 s, Sim. time: 34189.8 s, Active/Total Cells: 100000/100000
Timestep: 0-11500, Program time: 2823.74 s, Sim. time: 34489.8 s, Active/Total Cells: 100000/100000
Timestep: 0-11600, Program time: 2848.06 s, Sim. time: 34789.8 s, Active/Total Cells: 100000/100000
Timestep: 0-11700, Program time: 2873.14 s, Sim. time: 35089.8 s, Active/Total Cells: 100000/100000
Timestep: 0-11800, Program time: 2897.54 s, Sim. time: 35389.8 s, Active/Total Cells: 100000/100000
Timestep: 0-11856, Program time: 2911.4 s, Sim. time: 35557.3 s, Active/Total Cells: 100000/100000
